1419964, 20.87, 23.58, 749.86, 32.00
1430394, 20.98, 23.62, 749.85, 31.90
1440827, 20.98, 23.63, 749.77, 32.10
1451257, 20.99, 23.63, 749.82, 32.20
1461688, 20.98, 23.64, 749.86, 32.10
1472116, 20.98, 23.65, 749.88, 32.10
1482547, 20.98, 23.66, 749.82, 32.10
1492979, 20.98, 23.63, 749.81, 31.80
1503410, 20.87, 23.65, 749.82, 32.00
1513840, 20.87, 23.67, 749.90, 32.00
1524269, 20.98, 23.68, 749.84, 32.00
1534699, 20.87, 23.65, 749.81, 31.80
1545129, 20.98, 23.65, 749.86, 31.80
1555560, 20.87, 23.61, 749.85, 31.80
1565990, 20.98, 23.64, 749.85, 31.90
1576421, 20.87, 23.65, 749.86, 32.00
1586851, -3.94, 23.62, 749.80, 0.00
1597280, 20.98, 23.68, 749.84, 31.90
1607712, 20.87, 23.71, 749.84, 32.00
1618143, 20.88, 23.69, 749.85, 32.20
1628573, 20.87, 23.74, 749.83, 32.00
1639002, 20.88, 23.74, 749.78, 32.20
1649432, 20.99, 23.74, 749.80, 32.20
1659865, 20.99, 23.76, 749.84, 32.30
1670295, 20.87, 23.80, 749.90, 32.00
1680726, 20.98, 23.75, 749.86, 32.00
1691154, 20.98, 23.70, 749.86, 32.00
1701584, 20.87, 23.68, 749.83, 32.00
1712017, 20.98, 23.71, 749.85, 32.00
1722447, 20.87, 23.71, 749.88, 31.90
1732876, 20.87, 23.71, 749.86, 32.00
1743306, 20.99, 23.76, 749.83, 32.20
1753739, 20.88, 23.73, 749.82, 32.20
1764169, 20.99, 23.76, 749.81, 32.20
1774600, 20.98, 23.79, 749.83, 31.90
1785030, 20.98, 23.76, 749.87, 31.90
1795459, 20.87, 23.75, 749.83, 31.80
1805891, 20.99, 23.77, 749.84, 32.20
1816322, 20.98, 23.80, 749.83, 32.00
1826752, 20.98, 23.81, 749.81, 32.10
1837180, 20.87, 23.80, 749.76, 32.10
1847613, 20.88, 23.78, 749.85, 32.20
1858043, 20.87, 23.73, 749.75, 31.90
1868474, 20.98, 23.72, 749.84, 31.90
1878902, 20.87, 23.69, 749.80, 31.80
1889333, 20.86, 23.66, 749.74, 31.70
1899763, 20.87, 23.66, 749.79, 31.90
1910194, 20.87, 23.69, 749.84, 32.00
1920622, 20.87, 23.71, 749.81, 32.00
1931055, 20.99, 23.74, 749.86, 32.20
1941485, 20.87, 23.72, 749.82, 32.00
1951916, 20.87, 23.73, 749.82, 32.10
1962344, 20.98, 23.69, 749.80, 32.00
1972774, 20.98, 23.69, 749.74, 31.90
1983207, 20.99, 23.72, 749.81, 32.20
1993637, 20.98, 23.72, 749.80, 32.00
2004068, 20.87, 23.68, 749.80, 31.80
2014496, 20.98, 23.75, 749.83, 32.10
2024927, 20.87, 23.74, 749.77, 31.90
2035357, 20.87, 23.78, 749.80, 32.00
2045788, 20.87, 23.80, 749.84, 31.80
2056216, 20.87, 23.75, 749.81, 31.80
2066647, 20.97, 23.72, 749.78, 31.70
2077077, 20.87, 23.74, 749.83, 31.90
2087507, 20.98, 23.74, 749.87, 31.80
2097936, 20.87, 23.77, 749.76, 32.00
2108368, 20.98, 23.82, 749.82, 31.80
2118799, 20.98, 23.80, 749.83, 31.80
2129229, 20.98, 23.78, 749.78, 31.80
2139660, 20.98, 23.83, 749.83, 32.10
2150088, 20.98, 23.81, 749.86, 32.10
2160519, 20.98, 23.80, 749.83, 31.90
2170951, 20.98, 23.84, 749.85, 32.10
2181382, 20.98, 23.80, 749.81, 32.10
2191810, 20.76, 23.77, 749.78, 32.00
2202241, 20.98, 23.74, 749.78, 31.80
2212673, 20.87, 23.77, 749.84, 31.80
2223104, 20.86, 23.75, 749.83, 31.50
2233532, 20.86, 23.71, 749.86, 31.60
2243962, 20.86, 23.70, 749.79, 31.50
2254393, 20.86, 23.69, 749.81, 31.50
2264823, 20.87, 23.77, 749.81, 31.90
2275252, 20.87, 23.76, 749.74, 32.10
2285684, 20.87, 23.73, 749.77, 32.10
2296115, 20.98, 23.77, 749.74, 31.80
2306543, 20.87, 23.80, 749.78, 32.00
2316974, 20.98, 23.74, 749.78, 31.80
2327404, 20.87, 23.79, 749.80, 31.90
2337835, 20.87, 23.82, 749.80, 31.90
2348265, 20.87, 23.85, 749.86, 32.00
2358693, 20.87, 23.85, 749.79, 31.90
2369126, 20.87, 23.86, 749.80, 32.00
2379556, 20.87, 23.82, 749.76, 31.80
2389987, 20.87, 23.81, 749.77, 31.90
2400415, 20.87, 23.86, 749.70, 32.10
